xcl,ycl,xvcl,yvcl,xlt,ylt,xvlt,yvlt,xtt,ytt,xvtt,yvtt
25.608275,38.478010,-0.000000,0.0000000.133568,0.158369,25.515331,38.335355,-0.000000173,0.000000095,25.704797,38.622988,-0.000000,0.000000
25.435227,38.573963,-0.000000,0.0000000.056971,0.073617,25.315220,38.491620,-0.000000173,0.000000095,25.559879,38.662608,-0.000000,0.000000
25.261736,38.669243,-0.000000,0.0000000.056657,0.152005,25.158330,38.500772,-0.000000174,0.000000094,25.400950,38.794084,-0.000000,0.000000
25.087803,38.763848,-0.000000,0.0000000.056741,0.196541,25.012682,38.652773,-0.000000174,0.000000093,25.164829,38.937416,-0.000000,0.000000
24.913432,38.857776,-0.000000,0.0000000.194215,0.102242,24.776967,38.751375,-0.000000175,0.000000092,24.972442,39.011511,-0.000000,0.000000
24.738626,38.951025,-0.000000,0.0000000.140636,0.138700,24.690762,38.889414,-0.000000175,0.000000092,24.845054,39.082247,-0.000000,0.000000
24.563388,39.043592,-0.000000,0.0000000.083981,0.151486,24.460651,38.935308,-0.000000175,0.000000091,24.610810,39.176537,-0.000000,0.000000
24.387720,39.135477,-0.000000,0.0000000.079367,0.119003,24.299542,38.986197,-0.000000176,0.000000091,24.477912,39.264941,-0.000000,0.000000
24.211624,39.226676,-0.000000,0.0000000.104963,0.111471,24.125125,39.112627,-0.000000176,0.000000090,24.303373,39.356253,-0.000000,0.000000
24.035105,39.317189,-0.000000,0.0000000.056813,0.094018,23.993408,39.196805,-0.000000177,0.000000089,24.139557,39.435788,-0.000000,0.000000
23.858164,39.407012,-0.000000,0.0000000.102456,0.168226,23.841226,39.237620,-0.000000177,0.000000088,23.914073,39.538845,-0.000000,0.000000
23.680805,39.496143,-0.000000,0.0000000.121674,0.100616,23.645076,39.395541,-0.000000178,0.000000088,23.752972,39.603980,-0.000000,0.000000
23.503030,39.584582,-0.000000,0.0000000.116499,0.062485,23.416173,39.442234,-0.000000178,0.000000087,23.605698,39.666446,-0.000000,0.000000
23.324842,39.672326,-0.000000,0.0000000.116033,0.067678,23.288972,39.590276,-0.000000178,0.000000086,23.398713,39.800557,-0.000000,0.000000
23.146245,39.759373,-0.000000,0.0000000.088632,0.097182,23.092990,39.626365,-0.000000179,0.000000086,23.214095,39.865288,-0.000000,0.000000
22.967241,39.845720,-0.000000,0.0000000.146945,0.130945,22.844876,39.713405,-0.000000179,0.000000085,23.028180,39.963841,-0.000000,0.000000
22.787832,39.931367,-0.000000,0.0000000.119573,0.131592,22.734237,39.800661,-0.000000180,0.000000084,22.790937,40.055864,-0.000000,0.000000
22.608023,40.016311,-0.000000,0.0000000.038429,0.087699,22.512125,39.892316,-0.000000180,0.000000084,22.687927,40.132714,-0.000000,0.000000
22.427815,40.100550,-0.000000,0.0000000.077070,0.214345,22.381005,40.030449,-0.000000180,0.000000083,22.495930,40.253965,-0.000000,0.000000
22.247213,40.184083,-0.000000,0.0000000.137971,0.134468,22.184021,40.049972,-0.000000181,0.000000082,22.307409,40.301168,-0.000000,0.000000
22.066218,40.266907,-0.000000,0.0000000.177080,0.121223,22.013721,40.134653,-0.000000181,0.000000081,22.133381,40.422781,-0.000000,0.000000
21.884833,40.349020,-0.000000,0.0000000.061357,0.027125,21.810553,40.175922,-0.000000181,0.000000081,21.980593,40.509920,-0.000000,0.000000
21.703063,40.430422,-0.000000,0.0000000.070866,0.047429,21.616010,40.309503,-0.000000182,0.000000080,21.772396,40.541649,-0.000000,0.000000
21.520909,40.511109,-0.000000,0.0000000.131609,0.099799,21.470611,40.358663,-0.000000182,0.000000079,21.605488,40.644868,-0.000000,0.000000
21.338375,40.591081,-0.000000,0.0000000.072199,0.057361,21.279000,40.507304,-0.000000183,0.000000079,21.386108,40.699104,-0.000000,0.000000
21.155463,40.670334,-0.000000,0.0000000.095020,0.144508,21.077033,40.581207,-0.000000183,0.000000078,21.267362,40.780970,-0.000000,0.000000
20.972177,40.748868,-0.000000,0.0000000.044060,0.083959,20.870482,40.670436,-0.000000183,0.000000077,21.011149,40.848942,-0.000000,0.000000
20.788520,40.826681,-0.000000,0.0000000.061785,0.118847,20.733657,40.717676,-0.000000184,0.000000077,20.873336,40.979212,-0.000000,0.000000
20.604495,40.903771,-0.000000,0.0000000.058537,0.160014,20.593448,40.798427,-0.000000184,0.000000076,20.647087,41.010121,-0.000000,0.000000
20.420104,40.980136,-0.000000,0.0000000.137227,0.059574,20.353408,40.839776,-0.000000184,0.000000075,20.454700,41.108213,-0.000000,0.000000
